HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Man Utd,Leicester,D,20.498171658164114,60.999405621444666,18.50242272039121
Newcastle,Spurs,D,11.2389561034365,66.02112235487465,22.739921541688847
Bournemouth,Cardiff,D,21.358408128718658,58.56306996385976,20.07852190742158
Fulham,Crystal Palace,A,99.6491912094444,0.350706019435519,0.00010277112008617856
Huddersfield,Chelsea,D,15.863578882276089,67.33521260690365,16.80120851082026
Watford,Brighton,D,22.046346854642227,55.830139763646194,22.123513381711575
Wolves,Everton,H,0.0001057748631447022,0.20612674914254545,99.79376747599431
Liverpool,West Ham,D,19.445792561353116,63.32262934453075,17.231578094116124
Southampton,Burnley,D,16.879745302280465,59.123821613633076,23.99643308408645
Arsenal,Man City,D,18.36311008748563,57.026333449241775,24.610556463272598
Cardiff,Newcastle,D,13.102389198609723,59.50765646853444,27.389954332855837
Everton,Southampton,D,21.780233441311196,55.35982201562907,22.859944543059736
Leicester,Wolves,D,27.047120737880892,46.83353873955251,26.11934052256661
Spurs,Fulham,D,19.890213729370583,57.979297981013424,22.130488289615993
West Ham,Bournemouth,D,15.37067216439214,66.52534895037671,18.10397888523116
Chelsea,Arsenal,D,17.11134105307435,58.19497750245265,24.693681444472993
Burnley,Watford,D,18.474332222773658,63.26327363107055,18.262394146155795
Man City,Huddersfield,D,23.74765609126735,53.76414523710024,22.488198671632432
Brighton,Man Utd,D,18.67668870402811,63.389590901879224,17.93372039409265
Crystal Palace,Liverpool,D,17.217416409013946,66.42805208287245,16.35453150811359
Wolves,Man City,D,21.75523983820382,58.52344474632375,19.72131541547243
Arsenal,West Ham,D,15.256220708597294,65.0239327340263,19.719846557376396
Bournemouth,Everton,H,7.910775885346314e-05,0.17817170188718837,99.82174919035397
Huddersfield,Cardiff,D,19.6345533960876,60.197842331980866,20.16760427193153
Southampton,Leicester,D,22.909149542445565,60.57767302515897,16.513177432395462
Liverpool,Brighton,D,28.58759756056375,51.074707564097984,20.33769487533828
Watford,Crystal Palace,A,99.65335208355542,0.3465512846869824,9.663175759003077e-05
Fulham,Burnley,D,17.44828471564809,57.63788312623232,24.9138321581196
Newcastle,Chelsea,D,13.87811756486466,70.00815764635315,16.113724788782182
Man Utd,Spurs,D,10.906435427487093,62.98050369893191,26.113060873580977
Leicester,Liverpool,D,22.372768632234592,53.949795177262494,23.67743619050291
Brighton,Fulham,D,12.761631947916479,61.76881639378065,25.469551658302876
Chelsea,Bournemouth,D,15.481441563750636,63.19742051109536,21.321137925153995
Crystal Palace,Southampton,D,18.363943625134123,65.25337463252112,16.382681742344758
Everton,Huddersfield,D,20.124027234657664,56.65626431986147,23.21970844548085
West Ham,Wolves,D,23.419861115077364,55.76222216261304,20.817916722309594
Man City,Newcastle,D,15.161839178621747,54.50313557140585,30.335025249972407
Cardiff,Arsenal,D,18.999357174854815,57.93315607304715,23.067486752098027
Burnley,Man Utd,D,26.737689252982022,59.45415960678994,13.808151140228025
Watford,Spurs,D,13.17994456839463,63.02238818947041,23.797667242134956
Spurs,Liverpool,D,20.173678313464364,57.787561520967024,22.038760165568604
Bournemouth,Leicester,D,25.543781732738324,58.18986314139919,16.266355125862486
Chelsea,Cardiff,D,20.887327798723497,57.7789438764931,21.3337283247834
Huddersfield,Crystal Palace,A,99.64170963341535,0.35819160562756375,9.87609570758194e-05
Man City,Fulham,D,23.851942493775475,53.86734840141183,22.280709104812697
